job_category,age_group,median,lwr_95CrI,upr_95CrI,census_mean,census_lwr95,census_upr95,overlap
9,30-39,0.110701,0.110454975,0.11093207499999999,0.1108537952376227,0.11061808512604378,0.11108994487517689,TRUE
10,30-39,0.02237475,0.02226279,0.0224842025,0.022395595591180893,0.022284670366317656,0.02250706025222276,TRUE
11,30-39,0.0106486,0.010567894999999999,0.010724305000000002,0.010658639940314086,0.010581746439701679,0.010736086133554283,TRUE
12,30-39,0.025191850000000002,0.02507429,0.025315407499999998,0.025229941453410808,0.025112359130038207,0.025348060011675187,TRUE
13,30-39,0.0368081,0.0366649,0.0369487,0.036860315115163675,0.036718982362466214,0.0370021709666841,TRUE
14,30-39,0.030568449999999997,0.030443790000000002,0.030701202500000004,0.030615345601287803,0.03048614953371888,0.030745071821137445,TRUE
15,30-39,0.042051649999999996,0.0419040725,0.0422084025,0.04209973869036462,0.041949086120273045,0.042250908441547656,TRUE
16,30-39,0.155491,0.15523297500000002,0.155769,0.15570922963273318,0.1554369506179916,0.155981897510927,TRUE
17,30-39,0.00462812,0.004577566250000001,0.0046774515,0.004634478905954258,0.004583717657161395,0.004685799651437811,TRUE
18,30-39,0.032587450000000004,0.032449395000000006,0.032723405000000004,0.032613500630303834,0.03248028327288893,0.03274724588315863,TRUE
19,30-39,0.0181611,0.0180592,0.018259904999999996,0.01818053518859499,0.018080405458773846,0.01828120911534667,TRUE
20,30-39,0.01598865,0.0158973925,0.016082109999999997,0.016001117273265194,0.0159070941929374,0.016095687012093934,TRUE
21,30-39,0.352616,0.352253,0.352971,0.35314008916134676,0.35278100254263733,0.35349934165279173,TRUE
1,40-49,0.008569964999999999,0.00851027675,0.00862962325,0.008577743967949362,0.008517332745982657,0.00863857993770794,TRUE
2,40-49,7.170805e-4,7.13699e-4,7.20464025e-4,5.343722880606381e-4,5.193941114642499e-4,5.497821645238561e-4,FALSE
3,40-49,7.170805e-4,7.13699e-4,7.20464025e-4,9.044954096857958e-5,8.441002767707367e-5,9.692113781976645e-5,FALSE
4,40-49,0.0226057,0.022507290000000003,0.022706302499999997,0.0226266726696362,0.022529118179985572,0.022724639764259834,TRUE
5,40-49,0.0837973,0.0836168875,0.0839831,0.08386337439337495,0.08368133691066532,0.0840457715527388,TRUE
6,40-49,0.00168052,0.00165330975,0.00170592,0.0016773664873650767,0.0016506797229538424,0.001704483963726423,TRUE
7,40-49,0.0163825,0.0163028925,0.0164679025,0.01639420429941318,0.016310933720528043,0.016477892870140037,TRUE
8,40-49,0.0225783,0.0224834975,0.022676602500000004,0.02259517282949789,0.02249768485167296,0.022693073439521875,TRUE
9,40-49,0.123969,0.123748,0.12418305,0.12407978279510232,0.12386322172342508,0.12429666878344792,TRUE
10,40-49,0.0218501,0.021751895,0.0219442025,0.021864714036576263,0.021768782570861293,0.02196105876584297,TRUE
11,40-49,0.011219650000000001,0.0111511975,0.011289305,0.011228230516730128,0.011159174348608691,0.01129770914176569,TRUE
12,40-49,0.0247606,0.024658295,0.0248608,0.024782161730529217,0.024680168619507975,0.02488456558348367,TRUE
13,40-49,0.0441159,0.04397547,0.044250315,0.04415242592643842,0.04401757272843762,0.044287673124198394,TRUE
14,40-49,0.0268285,0.026720294999999998,0.0269292025,0.026851813727045336,0.02674575075293164,0.026958285654243436,TRUE
15,40-49,0.046298149999999996,0.0461628975,0.04643991,0.046334914850307135,0.046196921192513875,0.04647330062148315,TRUE
16,40-49,0.162657,0.162429,0.162898,0.1628025362771284,0.1625599831222562,0.16304538087968415,TRUE
17,40-49,0.00542867,0.00538014825,0.00547510075,0.005433272426142438,0.0053851607978713835,0.005481811520045933,TRUE
18,40-49,0.0375012,0.0373831775,0.037627705000000004,0.03752362206761801,0.03739889066981577,0.037648753194610196,TRUE
19,40-49,0.01902945,0.0189425925,0.0191177,0.01904120336589292,0.018951565600506565,0.019131256835257564,TRUE
20,40-49,0.0156976,0.01561649,0.0157799,0.01570492029752949,0.015623395148656488,0.015786864034008554,TRUE
21,40-49,0.303591,0.303293,0.30389,0.30384104550669405,0.30353878680349605,0.30414347375468126,TRUE
1,50-59,0.0104729,0.0104216,0.0105263,0.011422374965814565,0.011349717015439468,0.011495492645213034,FALSE
2,50-59,8.10601e-4,7.952782e-4,8.280206250000001e-4,7.971804624773439e-4,7.780552843638656e-4,8.167753674324383e-4,TRUE
3,50-59,7.79702e-4,7.76124975e-4,7.8339015e-4,9.259001837960854e-5,8.622121807183958e-5,9.942920851612213e-5,FALSE
4,50-59,0.0197905,0.0196944,0.0198843075,0.019783523067345644,0.019688231440900737,0.01987926655535898,TRUE
5,50-59,0.07828835,0.07810397000000001,0.07846880750000002,0.07826648950456624,0.07808245805115333,0.07845091778977205,TRUE
6,50-59,0.00140927,0.0013842497500000002,0.00143655025,0.0014042819454240629,0.0013788297653155584,0.0014302032811196732,TRUE
7,50-59,0.01040825,0.010338094999999999,0.0104785,0.010405599393608864,0.010336225813152864,0.010475433659827178,TRUE
8,50-59,0.0216223,0.0215249925,0.021722,0.021620504133054306,0.021520969102996702,0.021720489296165834,TRUE
9,50-59,0.127637,0.12741,0.127873,0.1276228480322233,0.1273941549180638,0.12785189153611745,TRUE
10,50-59,0.024817850000000002,0.024713692500000002,0.0249236,0.024809103509394397,0.024702637869391454,0.024916016282126235,TRUE
11,50-59,0.01234945,0.0122731925,0.012425702499999998,0.012347050413917798,0.012271534670406533,0.012423025016375464,TRUE
12,50-59,0.0186774,0.0185854,0.0187682,0.018676851895284608,0.01858421842211459,0.018769938271349616,TRUE
13,50-59,0.0413568,0.041219195,0.0414991375,0.04134744441139019,0.04121109983098893,0.04148422056270393,TRUE
14,50-59,0.0274439,0.027334895,0.027555910000000003,0.02744387740542683,0.02733203986525368,0.027556159599128088,TRUE
15,50-59,0.052124000000000004,0.051973177499999995,0.05227941999999999,0.05210882952377255,0.05195659829847775,0.05226148219401249,TRUE
16,50-59,0.163988,0.163736,0.16422900000000001,0.16396675724403606,0.16371295907123315,0.1642208716086304,TRUE
17,50-59,0.00598268,0.005929007,0.00603690375,0.005979159652503292,0.005926512109004447,0.006032272046840208,TRUE
18,50-59,0.0410826,0.040951195,0.041215310000000005,0.04106428551920281,0.040928389378468835,0.041200613497288735,TRUE
19,50-59,0.0176894,0.0176005,0.0177786,0.01768187661841167,0.017591705126105178,0.017772501949839026,TRUE
20,50-59,0.014688,0.0146069,0.01476921,0.014676987595999376,0.014594730238321996,0.01475970162025967,TRUE
21,50-59,0.308578,0.30826097500000005,0.3089,0.3084823846877665,0.30816567418735263,0.308799275397428,TRUE
1,60-69,0.025914,0.025808195,0.026023602500000003,0.0259458834397887,0.02583504369665387,0.026057185997495146,TRUE
2,60-69,8.083875e-4,8.045639250000001e-4,8.12168225e-4,0.0011369217465669653,0.0011136193234311013,0.0011607112050302073,FALSE
3,60-69,8.083875e-4,8.045639250000001e-4,8.12168225e-4,6.976305341066993e-5,6.41665710276164e-5,7.584761297808815e-5,FALSE
4,60-69,0.0142107,0.014130092499999998,0.014292505,0.014225055102010994,0.014142556672171128,0.014308027789356841,TRUE
5,60-69,0.045533950000000004,0.045387492499999994,0.045681125,0.04557382652889417,0.04542833345102398,0.04571976325875989,TRUE
6,60-69,8.096774999999999e-4,8.058019e-4,8.137134999999999e-4,4.118434537413138e-4,3.9790930996790643e-4,4.2626534072921107e-4,FALSE
7,60-69,0.002729145,0.0026930845,0.00276601,0.002732068576191992,0.0026958413038760194,0.0027687813265085083,TRUE
8,60-69,0.010133650000000001,0.0100638,0.0102031025,0.010141311481867641,0.01007154855582367,0.010211552652338052,TRUE
9,60-69,0.0882355,0.08802989249999998,0.0884331,0.08831214709457214,0.08811410039236858,0.08851059572375117,TRUE
10,60-69,0.00881047,0.008746226000000001,0.008877554749999999,0.008815940540021945,0.00875086891415294,0.008881491704264563,TRUE
11,60-69,0.0119215,0.011844095,0.0119986,0.011931642373494106,0.011856019317606287,0.012007741925925165,TRUE
12,60-69,0.00983484,0.009766497,0.009904727750000002,0.009841165157357619,0.009772435595825099,0.00991037325634661,TRUE
13,60-69,0.03865085,0.038516095,0.0387873025,0.0386900303005466,0.03855551242316641,0.03882499855050779,TRUE
14,60-69,0.0224452,0.0223398875,0.022548310000000002,0.022472090013399844,0.022368770287081636,0.02257587594572148,TRUE
15,60-69,0.0265584,0.0264491625,0.0266734075,0.026569684585859704,0.0264575532633182,0.026682278113961625,TRUE
16,60-69,0.105004,0.104797975,0.105217,0.10510382178271922,0.10488974013860843,0.10531828896025157,TRUE
17,60-69,0.00273778,0.00270260525,0.0027738525,0.002737405640387344,0.002701142860247286,0.0027741538933174197,TRUE
18,60-69,0.0357886,0.0356539975,0.035920604999999994,0.03581780025274811,0.0356881881214322,0.03594786556077618,TRUE
19,60-69,0.007549945,0.00749092,0.007609062,0.007549277304325119,0.007489041400644213,0.007609993983011032,TRUE
20,60-69,0.0151504,0.015061497500000002,0.015235205,0.015160057919853816,0.015074923767006101,0.015245665417373062,TRUE
21,60-69,0.526362,0.5260279750000001,0.526712,0.526762263652242,0.5264134143736489,0.527111086803089,TRUE
1,70-79,0.0174351,0.0173671,0.0175009025,0.022730219146924677,0.022630824315274054,0.022830040324712454,FALSE
2,70-79,7.40681e-4,7.37207975e-4,7.441442249999999e-4,7.227422067147356e-4,7.050033049059776e-4,7.409271139878401e-4,TRUE
3,70-79,7.40681e-4,7.37207975e-4,7.441442249999999e-4,2.4184423905512384e-5,2.1113560820102474e-5,2.7701916478461133e-5,FALSE
