job_category,age_group,median,lwr_95CrI,upr_95CrI,census_mean,census_lwr95,census_upr95,overlap
17,20-29,0.004335055,0.00428309,0.004386561000000001,0.004335881611751628,0.004284017959997583,0.004388370373765502,TRUE
18,20-29,0.0355059,0.035354895000000004,0.0356544025,0.03550764319374598,0.03536098231436176,0.03565488987090551,TRUE
19,20-29,0.0388156,0.038663985,0.038965610000000005,0.038850576071133805,0.03869741769286749,0.03900431603121231,TRUE
20,20-29,0.0235574,0.023440190000000003,0.0236808,0.02356484518272949,0.023444690586717,0.023685600638260286,TRUE
21,20-29,0.343162,0.342769,0.34353805000000004,0.343532356438556,0.3431553520260821,0.3439095581812899,TRUE
1,30-39,0.0137606,0.013673695,0.013844727499999999,0.013768025386744936,0.01368193175646757,0.013854653151860031,TRUE
2,30-39,0.00170759,0.00167605925,0.0017391004999999999,0.001707777335804444,0.0016774489764922046,0.0017386530783604656,TRUE
3,30-39,9.08846e-4,9.04459675e-4,9.133323e-4,3.052666285953188e-4,2.925913928647375e-4,3.1849078825369354e-4,FALSE
4,30-39,0.071416,0.07123239499999999,0.071603505,0.07146742168802867,0.07127674135767655,0.07165857276936205,TRUE
5,30-39,0.17540850000000002,0.175126,0.17568402500000002,0.17550500537183478,0.17522326252451176,0.17578710468292477,TRUE
6,30-39,0.00526783,0.00521350675,0.00532014075,0.005267457891078007,0.005214082315360954,0.005321376939663764,TRUE
7,30-39,0.0466292,0.04646909,0.046783912500000004,0.046654177663176095,0.04649812638913833,0.04681072694600368,TRUE
8,30-39,0.0502746,0.050122192499999996,0.0504355,0.05028663607041922,0.050124921587553516,0.050448844571751854,TRUE
9,30-39,0.101198,0.10097,0.101414025,0.10126559111772769,0.10104222879317193,0.10148939145942322,TRUE
10,30-39,0.0152577,0.0151678975,0.015346215,0.015259327932997478,0.015168745379607218,0.015350442983001972,TRUE
11,30-39,0.0134314,0.0133492,0.0135184,0.013442026364170077,0.013356947348898082,0.013527639872395768,TRUE
12,30-39,0.0328362,0.03270709250000001,0.032967817499999996,0.03286499093636928,0.032733118003902335,0.03299737702530328,TRUE
13,30-39,0.02342425,0.0233128,0.023536902499999998,0.0234381858669129,0.02332632280601979,0.023550572439793187,TRUE
14,30-39,0.0190943,0.0189897975,0.019195,0.01910497254316127,0.019003781401388586,0.019206691957036295,TRUE
15,30-39,0.0288563,0.0287304875,0.02898131,0.0288726467660468,0.028748805750818913,0.02899700532340583,TRUE
16,30-39,0.0587432,0.0585651825,0.0589131075,0.0587667571361615,0.058592696990581415,0.058941301984638324,TRUE
17,30-39,0.006992235,0.006931072250000001,0.00705568525,0.006992964998285645,0.006931476864263903,0.007054994709674548,TRUE
