pref_idx,age_group,median,lwr_95CrI,upr_95CrI,census_mean,census_lwr95,census_upr95,overlap
33,30-39,0.01028635,0.010199495000000001,0.0103798075,0.010279559570730415,0.010192177692767777,0.010367682763676623,TRUE
34,30-39,0.02041755,0.020293597499999996,0.020537312500000002,0.020418834963545816,0.020296156945216807,0.020542238948516457,TRUE
35,30-39,0.006898275,0.0068266045,0.006971018,0.006895400806870457,0.006823780181264529,0.006967767870234892,TRUE
36,30-39,0.00237115,0.0023262485,0.0024142515000000002,0.002370250927412395,0.002328320657532042,0.0024129344850030484,TRUE
37,30-39,0.00322432,0.00317514875,0.0032740805,0.003217866845095531,0.0031689698391668816,0.0032675158556547306,TRUE
38,30-39,0.007736135,0.00766213825,0.007812874999999999,0.007733559364244715,0.007657720304927601,0.007810143592556679,TRUE
39,30-39,0.0032713,0.0032225875,0.003321451,0.0032720496385318077,0.003222740865762363,0.0033221103339125244,TRUE
40,30-39,0.0448056,0.0446245775,0.04498611,0.04480719988840315,0.04462756099534267,0.04498752783018464,TRUE
41,30-39,0.003129925,0.0030791592500000005,0.003179482,0.0031213229586090747,0.003073168415907644,0.003170229652084494,TRUE
42,30-39,0.00667922,0.0066081180000000005,0.006749325,0.0066737439246311436,0.00660328212569796,0.006744952496856241,TRUE
43,30-39,0.009868145,0.009780057750000001,0.0099541645,0.009865997085556797,0.00978038085822326,0.009952355253904682,TRUE
44,30-39,0.00584025,0.00577254525,0.0059065105,0.005840314047411323,0.005774395417570968,0.005906980712149205,TRUE
45,30-39,0.00563318,0.005568629249999999,0.00569695225,0.00563579863073185,0.00557104447676922,0.005701301129177497,TRUE
46,30-39,0.00739574,0.00731974575,0.00746814175,0.0073893508546695325,0.0073152144273558465,0.007464232972024168,TRUE
47,30-39,0.0127254,0.0126283875,0.01282261,0.012728424805710355,0.01263126747136912,0.012826319748062073,TRUE
1,40-49,0.0447992,0.044643785,0.044950304999999996,0.044798530988793245,0.04464011885063822,0.04495747882240705,TRUE
2,40-49,0.00636816,0.006306371000000001,0.00643143225,0.006365347608851258,0.0063046322178740115,0.006426643924670755,TRUE
3,40-49,0.004445905,0.004395743500000001,0.0044959729999999995,0.004441314224628025,0.004390597802569674,0.004492613835791852,TRUE
4,40-49,0.0172472,0.0171472,0.017348904999999998,0.01724323589911454,0.017143663465378944,0.017343376456250045,TRUE
5,40-49,0.00364148,0.00359587625,0.003687943,0.0036411271058331713,0.003595215482402985,0.0036876228600542945,TRUE
6,40-49,0.00523449,0.00518029975,0.0052928524999999995,0.005235527511563577,0.005180459602806978,0.005291177674770382,TRUE
7,40-49,0.008214525,0.008145541499999999,0.00828270025,0.008212793405134708,0.008143851773127927,0.008282313787851206,TRUE
8,40-49,0.01306415,0.012977395000000001,0.013149304999999998,0.01305787739338127,0.012971082268944192,0.013145245566680272,TRUE
9,40-49,0.01027485,0.0102009,0.0103517025,0.010275297148353069,0.010198228318753406,0.010352942301442928,TRUE
10,40-49,0.008699914999999999,0.008627625750000001,0.00877276575,0.00869606108503474,0.008625128786645887,0.008767571565408647,TRUE
11,40-49,0.06776255,0.06757109,0.0679526025,0.06777036529062769,0.06757781213156211,0.06796342711117224,TRUE
12,40-49,0.0557638,0.055594397500000003,0.055940205,0.05576342277895612,0.055587665901033236,0.05593970244850698,TRUE
13,40-49,0.164085,0.163803,0.164368,0.16410989216008093,0.1638259812979778,0.16439419830826654,TRUE
14,40-49,0.1009145,0.100684,0.101144,0.10092957418986033,0.10069873640552225,0.10116088161287357,TRUE
15,40-49,0.0122649,0.012176597499999999,0.0123472025,0.012268106186546225,0.012183952253578446,0.012352834097803618,TRUE
16,40-49,0.004525935,0.00447485975,0.004577841,0.004522343892668316,0.004471166327571822,0.004574104551512015,TRUE
17,40-49,0.0068392950000000004,0.00677689975,0.00690119125,0.006836361274680925,0.006773443810214285,0.006899859109686063,TRUE
18,40-49,0.00374317,0.0036981372499999996,0.0037887205000000004,0.003739312393571973,0.003692784232413488,0.0037864245699738494,TRUE
19,40-49,0.00256709,0.002526818,0.002607871,0.0025610889407063487,0.0025226103725032338,0.0026001529107234096,TRUE
20,40-49,0.007777145,0.00770835625,0.00784513325,0.00778129893468197,0.00771418607703241,0.00784899105083756,TRUE
21,40-49,0.008625075,0.00855447975,0.00869848225,0.008620545723326113,0.00854992067572957,0.00869174904177657,TRUE
22,40-49,0.02453685,0.024422192500000002,0.024657402499999998,0.024542798905655274,0.02442438993265663,0.024661767411697642,TRUE
23,40-49,0.0661206,0.0659289975,0.06630190999999999,0.06610994638409319,0.06591960128463799,0.06630080209906077,TRUE
24,40-49,0.008489165,0.008418944,0.00855802125,0.008481462663627468,0.008411407141650186,0.008552096620136,TRUE
25,40-49,0.008907565,0.008836067250000001,0.008976711500000002,0.008908821404331456,0.008837030735137483,0.008981190005127425,TRUE
26,40-49,0.02428,0.024159589999999998,0.024396702500000002,0.024285464610177603,0.024167664085340962,0.024403824970897093,TRUE
27,40-49,0.09621085,0.095979175,0.0964396475,0.09623000661869935,0.09600402648724245,0.09645646191943089,TRUE
28,40-49,0.049125600000000005,0.0489550975,0.049290507500000004,0.04912358525492868,0.048958063822638676,0.049289637292817066,TRUE
29,40-49,0.0101785,0.0101017,0.010255607500000001,0.01017558010885547,0.010098883726785333,0.010252852931765966,TRUE
30,40-49,0.003692705,0.0036462977499999998,0.003739393,0.003692440789752826,0.0036462059166445736,0.003739259733264452,TRUE
31,40-49,0.00228763,0.0022492255,0.0023238302499999997,0.002286905375881925,0.0022505559181695113,0.0023238405580761593,TRUE
32,40-49,0.001848765,0.0018150995,0.0018831205000000002,0.0018453013438211356,0.001812672030980767,0.0018785169008368899,TRUE
33,40-49,0.00990067,0.00982367975,0.009976594250000002,0.009897873514985816,0.00982222440930161,0.009974099388324272,TRUE
34,40-49,0.021123450000000002,0.0210145,0.021235305,0.021121784527561038,0.02101176689182253,0.02123236572230099,TRUE
35,40-49,0.00728577,0.007223595250000001,0.007353086,0.007286236766239211,0.007221287264475007,0.007351766109114233,TRUE
36,40-49,0.00240813,0.002370829,0.0024473937499999996,0.0024076074144750233,0.0023703056697022304,0.0024454947416836675,TRUE
37,40-49,0.00350346,0.0034582165,0.0035495225,0.003498061491561656,0.0034530634674113376,0.003543643814867043,TRUE
38,40-49,0.007878554999999999,0.007811757,0.007944684750000002,0.007877646120310217,0.007810120505246952,0.0079457508804951,TRUE
39,40-49,0.0034722950000000002,0.0034280385,0.0035183655,0.003470489959903334,0.0034256701608190165,0.0035158940905897695,TRUE
40,40-49,0.0425718,0.0424174925,0.042725405,0.042566309150700324,0.0424117215537134,0.042721435070095154,TRUE
41,40-49,0.003096335,0.0030544055,0.0031407245000000003,0.003093679027239601,0.0030513706703747287,0.0031365721591495917,TRUE
42,40-49,0.006718255,0.006652456,0.0067800035,0.0067223989438265274,0.006660006989724614,0.0067853714025814076,TRUE
43,40-49,0.009569225,0.00949549675,0.00963948075,0.009570078638603544,0.009495685372017136,0.009645049058603559,TRUE
44,40-49,0.00599073,0.005932070500000001,0.00605084025,0.005990068427946321,0.005931167706330142,0.006049550516045135,TRUE
45,40-49,0.00560015,0.00554568,0.00565667075,0.0055956423500564375,0.005538712422141264,0.005653154108627307,TRUE
46,40-49,0.007030465,0.006965328,0.0070946130000000005,0.007030127872168576,0.0069663270606766525,0.00709450882616835,TRUE
47,40-49,0.0113167,0.011235597500000001,0.011400302499999999,0.011320258198203469,0.0112393934386498,0.011401698051504185,TRUE
1,50-59,0.04732635,0.047156487500000004,0.04749881,0.04739190605134044,0.04721974903539531,0.047564659395087056,TRUE
2,50-59,0.00711955,0.007052659499999999,0.0071895425,0.007127263872192507,0.007059310764976711,0.007195866357355953,TRUE
3,50-59,0.00454952,0.004497467,0.00460147125,0.004551667132545741,0.0044973587970322994,0.004606628239450215,TRUE
4,50-59,0.0164646,0.0163586975,0.0165619,0.01648457368634963,0.016381545208808062,0.01658823921323919,TRUE
5,50-59,0.003954655,0.00390329,0.0040056945,0.003954884613471851,0.003904268720183188,0.004006154064434453,TRUE
